index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
137,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,BPl_16,1,D,D
138,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,BPl_17,5,D,C
139,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,BPl_18,5,D,C
140,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,BPl_19,1,D,D
141,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_0,1,D,D
142,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_1,1,D,D
143,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_2,1,D,D
144,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_3,1,D,D
145,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_4,1,D,D
146,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_5,1,D,D
147,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_6,5,D,C
148,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_7,5,D,C
149,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_8,5,D,C
150,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_9,1,D,D
151,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_10,5,D,C
152,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_11,1,D,D
153,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_12,5,D,C
154,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_13,5,D,C
155,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_14,1,D,D
156,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_15,1,D,D
157,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_16,5,D,C
158,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_17,5,D,C
159,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_18,5,D,C
160,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,BPl_19,5,D,C
161,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_0,5,D,C
162,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_1,5,D,C
163,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_2,5,D,C
164,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_3,5,D,C
165,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_4,5,D,C
166,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_5,5,D,C
167,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_6,5,D,C
168,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_7,1,D,D
169,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_8,1,D,D
170,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,BPl_9,1,D,D
