index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
88,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,9,2019-09-30T19:36
89,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,9,2019-09-30T19:36
90,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,9,2019-09-30T19:36
91,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,0,2019-09-30T19:36
92,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,0,2019-09-30T19:36
93,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,0,2019-09-30T19:36
94,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,1,2019-09-30T19:36
95,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,1,2019-09-30T19:36
96,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,1,2019-09-30T19:36
97,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,2,2019-09-30T19:36
98,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,2,2019-09-30T19:36
99,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,2,2019-09-30T19:36
100,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,3,2019-09-30T19:36
101,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,3,2019-09-30T19:36
102,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,3,2019-09-30T19:36
103,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,4,2019-09-30T19:36
104,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,4,2019-09-30T19:36
105,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,4,2019-09-30T19:36
106,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,5,2019-09-30T19:36
107,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,3,Scenario1,dumb_simulation,5,2019-09-30T19:36
108,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,3,Scenario1,dumb_simulation,5,2019-09-30T19:36
109,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,3,Scenario1,dumb_simulation,6,2019-09-30T19:36
