index_no,model,simulation,scenario,run,step,time,agent_name,ammount
48,macro_Caiani,macro_Caiani,Scenario1,0,47,2020-01-31T15:27,Gov_0,29.335230476285783
49,macro_Caiani,macro_Caiani,Scenario1,0,48,2020-01-31T15:27,Gov_0,29.335230476285783
50,macro_Caiani,macro_Caiani,Scenario1,0,49,2020-01-31T15:27,Gov_0,29.335230476285783
51,macro_Caiani,macro_Caiani,Scenario1,0,50,2020-01-31T15:27,Gov_0,29.335230476285783
52,macro_Caiani,macro_Caiani,Scenario1,0,51,2020-01-31T15:27,Gov_0,29.335230476285783
53,macro_Caiani,macro_Caiani,Scenario1,0,52,2020-01-31T15:27,Gov_0,29.335230476285783
54,macro_Caiani,macro_Caiani,Scenario1,0,53,2020-01-31T15:27,Gov_0,29.335230476285783
55,macro_Caiani,macro_Caiani,Scenario1,0,54,2020-01-31T15:27,Gov_0,29.335230476285783
56,macro_Caiani,macro_Caiani,Scenario1,0,55,2020-01-31T15:27,Gov_0,29.335230476285783
57,macro_Caiani,macro_Caiani,Scenario1,0,56,2020-01-31T15:27,Gov_0,29.335230476285783
58,macro_Caiani,macro_Caiani,Scenario1,0,57,2020-01-31T15:27,Gov_0,29.335230476285783
59,macro_Caiani,macro_Caiani,Scenario1,0,58,2020-01-31T15:27,Gov_0,29.335230476285783
60,macro_Caiani,macro_Caiani,Scenario1,0,59,2020-01-31T15:27,Gov_0,29.335230476285783
61,macro_Caiani,macro_Caiani,Scenario1,0,60,2020-01-31T15:27,Gov_0,29.335230476285783
62,macro_Caiani,macro_Caiani,Scenario1,0,61,2020-01-31T15:27,Gov_0,29.335230476285783
63,macro_Caiani,macro_Caiani,Scenario1,0,62,2020-01-31T15:27,Gov_0,29.335230476285783
64,macro_Caiani,macro_Caiani,Scenario1,0,63,2020-01-31T15:27,Gov_0,29.335230476285783
65,macro_Caiani,macro_Caiani,Scenario1,0,64,2020-01-31T15:27,Gov_0,29.335230476285783
66,macro_Caiani,macro_Caiani,Scenario1,0,65,2020-01-31T15:27,Gov_0,29.335230476285783
67,macro_Caiani,macro_Caiani,Scenario1,0,66,2020-01-31T15:27,Gov_0,29.335230476285783
68,macro_Caiani,macro_Caiani,Scenario1,0,67,2020-01-31T15:27,Gov_0,29.335230476285783
69,macro_Caiani,macro_Caiani,Scenario1,0,68,2020-01-31T15:27,Gov_0,29.335230476285783
70,macro_Caiani,macro_Caiani,Scenario1,0,69,2020-01-31T15:27,Gov_0,29.335230476285783
71,macro_Caiani,macro_Caiani,Scenario1,0,70,2020-01-31T15:27,Gov_0,29.335230476285783
72,macro_Caiani,macro_Caiani,Scenario1,0,71,2020-01-31T15:27,Gov_0,29.335230476285783
73,macro_Caiani,macro_Caiani,Scenario1,0,72,2020-01-31T15:27,Gov_0,29.335230476285783
74,macro_Caiani,macro_Caiani,Scenario1,0,73,2020-01-31T15:27,Gov_0,29.335230476285783
75,macro_Caiani,macro_Caiani,Scenario1,0,74,2020-01-31T15:27,Gov_0,29.335230476285783
76,macro_Caiani,macro_Caiani,Scenario1,0,75,2020-01-31T15:27,Gov_0,29.335230476285783
77,macro_Caiani,macro_Caiani,Scenario1,0,76,2020-01-31T15:27,Gov_0,29.335230476285783
78,macro_Caiani,macro_Caiani,Scenario1,0,77,2020-01-31T15:27,Gov_0,29.335230476285783
79,macro_Caiani,macro_Caiani,Scenario1,0,78,2020-01-31T15:27,Gov_0,29.335230476285783
80,macro_Caiani,macro_Caiani,Scenario1,0,79,2020-01-31T15:27,Gov_0,29.335230476285783
81,macro_Caiani,macro_Caiani,Scenario1,0,80,2020-01-31T15:27,Gov_0,29.335230476285783
82,macro_Caiani,macro_Caiani,Scenario1,0,81,2020-01-31T15:27,Gov_0,29.335230476285783
83,macro_Caiani,macro_Caiani,Scenario1,0,82,2020-01-31T15:27,Gov_0,29.335230476285783
84,macro_Caiani,macro_Caiani,Scenario1,0,83,2020-01-31T15:27,Gov_0,29.335230476285783
85,macro_Caiani,macro_Caiani,Scenario1,0,84,2020-01-31T15:27,Gov_0,29.335230476285783
86,macro_Caiani,macro_Caiani,Scenario1,0,85,2020-01-31T15:27,Gov_0,29.335230476285783
87,macro_Caiani,macro_Caiani,Scenario1,0,86,2020-01-31T15:27,Gov_0,29.335230476285783
88,macro_Caiani,macro_Caiani,Scenario1,0,87,2020-01-31T15:27,Gov_0,29.335230476285783
89,macro_Caiani,macro_Caiani,Scenario1,0,88,2020-01-31T15:27,Gov_0,29.335230476285783
90,macro_Caiani,macro_Caiani,Scenario1,0,89,2020-01-31T15:27,Gov_0,29.335230476285783
91,macro_Caiani,macro_Caiani,Scenario1,0,90,2020-01-31T15:27,Gov_0,29.335230476285783
92,macro_Caiani,macro_Caiani,Scenario1,0,91,2020-01-31T15:27,Gov_0,29.335230476285783
93,macro_Caiani,macro_Caiani,Scenario1,0,92,2020-01-31T15:27,Gov_0,29.335230476285783
94,macro_Caiani,macro_Caiani,Scenario1,0,93,2020-01-31T15:27,Gov_0,29.335230476285783
95,macro_Caiani,macro_Caiani,Scenario1,0,94,2020-01-31T15:27,Gov_0,29.335230476285783
96,macro_Caiani,macro_Caiani,Scenario1,0,95,2020-01-31T15:27,Gov_0,29.335230476285783
97,macro_Caiani,macro_Caiani,Scenario1,0,96,2020-01-31T15:27,Gov_0,29.335230476285783
98,macro_Caiani,macro_Caiani,Scenario1,0,97,2020-01-31T15:27,Gov_0,29.335230476285783
99,macro_Caiani,macro_Caiani,Scenario1,0,98,2020-01-31T15:27,Gov_0,29.335230476285783
100,macro_Caiani,macro_Caiani,Scenario1,0,99,2020-01-31T15:27,Gov_0,29.335230476285783
