index_no,model,simulation,scenario,run,step,time,agent_name,ammount
73,macro_Caiani,macro_Caiani,Scenario1,0,72,2020-02-07T14:50,CB_0,30.671433311948558
74,macro_Caiani,macro_Caiani,Scenario1,0,73,2020-02-07T14:50,CB_0,30.671433311948558
75,macro_Caiani,macro_Caiani,Scenario1,0,74,2020-02-07T14:50,CB_0,30.671433311948558
76,macro_Caiani,macro_Caiani,Scenario1,0,75,2020-02-07T14:50,CB_0,30.671433311948558
77,macro_Caiani,macro_Caiani,Scenario1,0,76,2020-02-07T14:50,CB_0,30.671433311948558
78,macro_Caiani,macro_Caiani,Scenario1,0,77,2020-02-07T14:50,CB_0,30.671433311948558
79,macro_Caiani,macro_Caiani,Scenario1,0,78,2020-02-07T14:50,CB_0,30.671433311948558
80,macro_Caiani,macro_Caiani,Scenario1,0,79,2020-02-07T14:50,CB_0,30.671433311948558
81,macro_Caiani,macro_Caiani,Scenario1,0,80,2020-02-07T14:50,CB_0,30.671433311948558
82,macro_Caiani,macro_Caiani,Scenario1,0,81,2020-02-07T14:50,CB_0,30.671433311948558
83,macro_Caiani,macro_Caiani,Scenario1,0,82,2020-02-07T14:50,CB_0,30.671433311948558
84,macro_Caiani,macro_Caiani,Scenario1,0,83,2020-02-07T14:50,CB_0,30.671433311948558
85,macro_Caiani,macro_Caiani,Scenario1,0,84,2020-02-07T14:50,CB_0,30.671433311948558
86,macro_Caiani,macro_Caiani,Scenario1,0,85,2020-02-07T14:50,CB_0,30.671433311948558
87,macro_Caiani,macro_Caiani,Scenario1,0,86,2020-02-07T14:50,CB_0,30.671433311948558
88,macro_Caiani,macro_Caiani,Scenario1,0,87,2020-02-07T14:50,CB_0,30.671433311948558
89,macro_Caiani,macro_Caiani,Scenario1,0,88,2020-02-07T14:50,CB_0,30.671433311948558
90,macro_Caiani,macro_Caiani,Scenario1,0,89,2020-02-07T14:50,CB_0,30.671433311948558
91,macro_Caiani,macro_Caiani,Scenario1,0,90,2020-02-07T14:50,CB_0,30.671433311948558
92,macro_Caiani,macro_Caiani,Scenario1,0,91,2020-02-07T14:50,CB_0,30.671433311948558
93,macro_Caiani,macro_Caiani,Scenario1,0,92,2020-02-07T14:50,CB_0,30.671433311948558
94,macro_Caiani,macro_Caiani,Scenario1,0,93,2020-02-07T14:50,CB_0,30.671433311948558
95,macro_Caiani,macro_Caiani,Scenario1,0,94,2020-02-07T14:50,CB_0,30.671433311948558
96,macro_Caiani,macro_Caiani,Scenario1,0,95,2020-02-07T14:50,CB_0,30.671433311948558
97,macro_Caiani,macro_Caiani,Scenario1,0,96,2020-02-07T14:50,CB_0,30.671433311948558
98,macro_Caiani,macro_Caiani,Scenario1,0,97,2020-02-07T14:50,CB_0,30.671433311948558
99,macro_Caiani,macro_Caiani,Scenario1,0,98,2020-02-07T14:50,CB_0,30.671433311948558
100,macro_Caiani,macro_Caiani,Scenario1,0,99,2020-02-07T14:50,CB_0,30.671433311948558
